#,name,type1,color,type2,total,hp,attack,defence,sp atk,sp def,speed,generation,legendary,strong against,weak against,other,evol level,evol cond,shape,height,weight
123,Scyther,Bug,Green,Flying,500,70,110,80,55,80,105,1,Not Legendary,"Dark, Grass, Psychic, Bug, Fighting, Grass","Fire, Flying, Rock, Electric, Ice, Rock","nan, Immune to Ground",#N/A,#N/A,quadruped,3,65
124,Jynx,Ice,Purple,Psychic,455,65,50,35,115,95,95,1,Not Legendary,"Dragon, Flying, Grass, Ground, Fight, Poison","Fighting, Fire, Rock, Steel, Bug, Dark, Ghost","nan, Not Effective Against Dark",#N/A,#N/A,quadruped,10,290
125,Electabuzz,Electric,Yellow,,490,65,83,57,95,85,105,1,Not Legendary,"Flying, Water",Ground,Not Effective Against Ground,#N/A,#N/A,quadruped,8,245
126,Magmar,Fire,Red,,495,65,95,57,100,85,93,1,Not Legendary,"Bug, Grass, Ice, Steel","Ground, Rock, Water",nan,#N/A,#N/A,quadruped,9,250
127,Pinsir,Bug,Brown,,500,65,125,100,55,70,85,1,Not Legendary,"Dark, Grass, Psychic","Fire, Flying, Rock",nan,#N/A,#N/A,legs,8,365
127,PinsirMega Pinsir,Bug,Brown,Flying,600,65,155,120,65,90,105,1,Not Legendary,"Dark, Grass, Psychic, Bug, Fighting, Grass","Fire, Flying, Rock, Electric, Ice, Rock","nan, Immune to Ground",#N/A,#N/A,tentacles,4,75
128,Tauros,Normal,Brown,,490,75,100,95,40,70,110,1,Not Legendary,None,Fighting,Immune to Ghost; Not Effective Against Ghost,#N/A,#N/A,tentacles,10,350
129,Magikarp,Water,Orange,,200,20,10,55,15,20,80,1,Not Legendary,"Fire, Ground, Rock","Electric, Grass",nan,20,None,armor,5,115
130,Gyarados,Water,Blue,Flying,540,95,125,79,60,100,81,1,Not Legendary,"Fire, Ground, Rock, Bug, Fighting, Grass","Electric, Grass, Electric, Ice, Rock","nan, Immune to Ground",#N/A,#N/A,upright,13,405
130,Mega Gyarados,Water,Blue,Dark,640,95,155,109,70,130,81,1,Not Legendary,"Fire, Ground, Rock, Ghost, Psychic","Electric, Grass, Bug, Fairy, Fight","nan, Immunce to Psychic",#N/A,#N/A,wings,18,590
131,Lapras,Water,Blue,Ice,535,130,85,80,85,95,60,1,Not Legendary,"Fire, Ground, Rock, Dragon, Flying, Grass, Ground","Electric, Grass, Fighting, Fire, Rock, Steel","nan, nan",#N/A,#N/A,humanoid,21,4600
132,Ditto,Normal,Purple,,288,48,48,48,48,48,48,1,Not Legendary,None,Fighting,Immune to Ghost; Not Effective Against Ghost,#N/A,#N/A,wings,17,554
133,Eevee,Normal,Brown,,325,55,55,50,45,65,55,1,Not Legendary,None,Fighting,Immune to Ghost; Not Effective Against Ghost,#N/A,#N/A,wings,16,526
134,Vaporeon,Water,Blue,,525,130,65,60,110,95,65,1,Not Legendary,"Fire, Ground, Rock","Electric, Grass",nan,#N/A,#N/A,wings,20,600
135,Jolteon,Electric,Yellow,,525,65,65,60,110,95,130,1,Not Legendary,"Flying, Water",Ground,Not Effective Against Ground,#N/A,#N/A,squiggle,18,33
136,Flareon,Fire,Red,,525,65,130,60,95,110,65,1,Not Legendary,"Bug, Grass, Ice, Steel","Ground, Rock, Water",nan,#N/A,#N/A,squiggle,40,165
137,Porygon,Normal,Pink,,395,65,60,70,85,75,40,1,Not Legendary,None,Fighting,Immune to Ghost; Not Effective Against Ghost,#N/A,#N/A,upright,22,2100
138,Omanyte,Rock,Blue,Water,355,35,40,100,90,55,35,1,Not Legendary,"Bug, Fire, Flying, Ice, Fire, Ground, Rock","Fight, Grass, Ground, Steel, Water, Electric, Grass","nan, nan",40,None,upright,20,1220
139,Omastar,Rock,Blue,Water,495,70,60,125,115,70,55,1,Not Legendary,"Bug, Fire, Flying, Ice, Fire, Ground, Rock","Fight, Grass, Ground, Steel, Water, Electric, Grass","nan, nan",#N/A,#N/A,upright,4,40
140,Kabuto,Rock,Brown,Water,355,30,80,90,55,45,55,1,Not Legendary,"Bug, Fire, Flying, Ice, Fire, Ground, Rock","Fight, Grass, Ground, Steel, Water, Electric, Grass","nan, nan",40,None,quadruped,9,64
141,Kabutops,Rock,Brown,Water,495,60,115,105,65,70,80,1,Not Legendary,"Bug, Fire, Flying, Ice, Fire, Ground, Rock","Fight, Grass, Ground, Steel, Water, Electric, Grass","nan, nan",#N/A,#N/A,quadruped,12,158
142,Aerodactyl,Rock,Purple,Flying,515,80,105,65,60,75,130,1,Not Legendary,"Bug, Fire, Flying, Ice, Bug, Fighting, Grass","Fight, Grass, Ground, Steel, Water, Electric, Ice, Rock","nan, Immune to Ground",#N/A,#N/A,quadruped,18,1005
142,Mega Aerodactyl,Rock,Purple,Flying,615,80,135,85,70,95,150,1,Not Legendary,"Bug, Fire, Flying, Ice, Bug, Fighting, Grass","Fight, Grass, Ground, Steel, Water, Electric, Ice, Rock","nan, Immune to Ground",#N/A,#N/A,humanoid,5,79
143,Snorlax,Normal,Blue,,540,160,110,65,65,110,30,1,Not Legendary,None,Fighting,Immune to Ghost; Not Effective Against Ghost,#N/A,#N/A,quadruped,9,190
144,Articuno,Ice,Blue,Flying,580,90,85,100,95,125,85,1,Legendary,"Dragon, Flying, Grass, Ground, Bug, Fighting, Grass","Fighting, Fire, Rock, Steel, Electric, Ice, Rock","nan, Immune to Ground",#N/A,#N/A,quadruped,17,795
145,Zapdos,Electric,Yellow,Flying,580,90,90,85,125,90,100,1,Legendary,"Flying, Water, Bug, Fighting, Grass","Ground, Electric, Ice, Rock","Not Effective Against Ground, Immune to Ground",#N/A,#N/A,upright,6,95
146,Moltres,Fire,Red,Flying,580,90,100,90,125,85,90,1,Legendary,"Bug, Grass, Ice, Steel, Bug, Fighting, Grass","Ground, Rock, Water, Electric, Ice, Rock","nan, Immune to Ground",#N/A,#N/A,upright,11,250
147,Dratini,Dragon,Blue,,300,41,64,45,50,50,50,1,Not Legendary,Dragon,"Dragon, Fairy, Ice",Not Effective Against Fairy,30,None,upright,23,888
148,Dragonair,Dragon,Blue,,420,61,84,65,70,70,70,1,Not Legendary,Dragon,"Dragon, Fairy, Ice",Not Effective Against Fairy,55,None,quadruped,8,60
149,Dragonite,Dragon,Orange,Flying,600,91,134,95,100,100,80,1,Not Legendary,"Dragon, Bug, Fighting, Grass","Dragon, Fairy, Ice, Electric, Ice, Rock","Not Effective Against Fairy, Immune to Ground",#N/A,#N/A,quadruped,18,325
150,Mewtwo,Psychic,Purple,,680,106,110,90,154,90,130,1,Legendary,"Fight, Poison","Bug, Dark, Ghost",Not Effective Against Dark,#N/A,#N/A,wings,7,212
150,MewtwoMega Mewtwo X,Psychic,Purple,Fighting,780,106,190,100,154,100,130,1,Legendary,"Fight, Poison, Dark, Ice, Normal, Rock, Steel","Bug, Dark, Ghost, Fairy, Flying, Psychic","Not Effective Against Dark, Not Effective Against Ghost",#N/A,#N/A,wings,16,408
150,MewtwoMega Mewtwo Y,Psychic,Purple,,780,106,150,70,194,120,140,1,Legendary,"Fight, Poison","Bug, Dark, Ghost",Not Effective Against Dark,#N/A,#N/A,wings,10,108
151,Mew,Psychic,Pink,,600,100,100,100,100,100,100,1,Not Legendary,"Fight, Poison","Bug, Dark, Ghost",Not Effective Against Dark,#N/A,#N/A,wings,14,356
152,Chikorita,Grass,Green,,318,45,49,65,49,65,45,2,Not Legendary,"Ground, Rock, Water","Bug, Fire, Flying, Ice, Poison",nan,16,None,armor,5,85
153,Bayleef,Grass,Green,,405,60,62,80,63,80,60,2,Not Legendary,"Ground, Rock, Water","Bug, Fire, Flying, Ice, Poison",nan,32,None,armor,11,335
154,Meganium,Grass,Green,,525,80,82,100,83,100,80,2,Not Legendary,"Ground, Rock, Water","Bug, Fire, Flying, Ice, Poison",nan,#N/A,#N/A,bug-wings,18,750
155,Cyndaquil,Fire,Blue,,309,39,52,43,60,50,65,2,Not Legendary,"Bug, Grass, Ice, Steel","Ground, Rock, Water",nan,14,None,fish,5,120
156,Quilava,Fire,Blue,,405,58,64,58,80,65,80,2,Not Legendary,"Bug, Grass, Ice, Steel","Ground, Rock, Water",nan,36,None,fish,12,225
157,Typhlosion,Fire,Blue,,534,78,84,78,109,85,100,2,Not Legendary,"Bug, Grass, Ice, Steel","Ground, Rock, Water",nan,#N/A,#N/A,quadruped,3,20
158,Totodile,Water,Blue,,314,50,65,64,44,48,43,2,Not Legendary,"Fire, Ground, Rock","Electric, Grass",nan,18,None,upright,3,30
159,Croconaw,Water,Blue,,405,65,80,80,59,63,58,2,Not Legendary,"Fire, Ground, Rock","Electric, Grass",nan,30,None,humanoid,3,10
160,Feraligatr,Water,Blue,,530,85,105,100,79,83,78,2,Not Legendary,"Fire, Ground, Rock","Electric, Grass",nan,#N/A,#N/A,humanoid,3,15
161,Sentret,Normal,Brown,,215,35,46,34,35,45,20,2,Not Legendary,None,Fighting,Immune to Ghost; Not Effective Against Ghost,15,None,humanoid,6,32
162,Furret,Normal,Brown,,415,85,76,64,45,55,90,2,Not Legendary,None,Fighting,Immune to Ghost; Not Effective Against Ghost,#N/A,#N/A,wings,2,20
163,Hoothoot,Normal,Brown,Flying,262,60,30,30,36,56,50,2,Not Legendary,"None, Bug, Fighting, Grass","Fighting, Electric, Ice, Rock","Immune to Ghost; Not Effective Against Ghost, Immune to Ground",20,None,wings,15,150
164,Noctowl,Normal,Brown,Flying,442,100,50,50,76,96,70,2,Not Legendary,"None, Bug, Fighting, Grass","Fighting, Electric, Ice, Rock","Immune to Ghost; Not Effective Against Ghost, Immune to Ground",#N/A,#N/A,quadruped,6,78
165,Ledyba,Bug,Red,Flying,265,40,20,30,40,80,55,2,Not Legendary,"Dark, Grass, Psychic, Bug, Fighting, Grass","Fire, Flying, Rock, Electric, Ice, Rock","nan, Immune to Ground",18,None,upright,8,133
166,Ledian,Bug,Red,Flying,390,55,35,50,55,110,85,2,Not Legendary,"Dark, Grass, Psychic, Bug, Fighting, Grass","Fire, Flying, Rock, Electric, Ice, Rock","nan, Immune to Ground",#N/A,#N/A,upright,14,615
167,Spinarak,Bug,Green,Poison,250,40,60,40,40,40,30,2,Not Legendary,"Dark, Grass, Psychic, Fairy, Grass","Fire, Flying, Rock, Ground, Psychic","nan, Not Effective Against Steel",22,None,humanoid,4,58
168,Ariados,Bug,Red,Poison,390,70,90,70,60,60,40,2,Not Legendary,"Dark, Grass, Psychic, Fairy, Grass","Fire, Flying, Rock, Ground, Psychic","nan, Not Effective Against Steel",#N/A,#N/A,upright,4,85
169,Crobat,Poison,Purple,Flying,535,85,90,80,70,80,130,2,Not Legendary,"Fairy, Grass, Bug, Fighting, Grass","Ground, Psychic, Electric, Ice, Rock","Not Effective Against Steel, Immune to Ground",#N/A,#N/A,upright,8,285
170,Chinchou,Water,Blue,Electric,330,75,38,38,56,56,67,2,Not Legendary,"Fire, Ground, Rock, Flying, Water","Electric, Grass, Ground","nan, Not Effective Against Ground",27,None,humanoid,12,380
171,Lanturn,Water,Blue,Electric,460,125,58,58,76,76,67,2,Not Legendary,"Fire, Ground, Rock, Flying, Water","Electric, Grass, Ground","nan, Not Effective Against Ground",#N/A,#N/A,humanoid,11,339
172,Pichu,Electric,Yellow,,205,20,40,15,35,35,60,2,Not Legendary,"Flying, Water",Ground,Not Effective Against Ground,#N/A,#N/A,upright,4,5
173,Cleffa,Fairy,Pink,,218,50,25,28,45,55,15,2,Not Legendary,"Dark, Dragon, Fighting","Poison, Steel",Immune to Dragon,#N/A,#N/A,upright,6,10
174,Igglybuff,Normal,Pink,Fairy,210,90,30,15,40,20,15,2,Not Legendary,"None, Dark, Dragon, Fighting","Fighting, Poison, Steel","Immune to Ghost; Not Effective Against Ghost, Immune to Dragon",#N/A,#N/A,upright,8,30
175,Togepi,Fairy,White,,245,35,20,65,40,65,20,2,Not Legendary,"Dark, Dragon, Fighting","Poison, Steel",Immune to Dragon,#N/A,#N/A,upright,8,115
176,Togetic,Fairy,White,Flying,405,55,40,85,80,105,40,2,Not Legendary,"Dark, Dragon, Fighting, Bug, Fighting, Grass","Poison, Steel, Electric, Ice, Rock","Immune to Dragon, Immune to Ground",#N/A,#N/A,ball,3,18
177,Natu,Psychic,Green,Flying,320,40,50,45,70,45,70,2,Not Legendary,"Fight, Poison, Bug, Fighting, Grass","Bug, Dark, Ghost, Electric, Ice, Rock","Not Effective Against Dark, Immune to Ground",25,None,humanoid,8,85
178,Xatu,Psychic,Green,Flying,470,65,75,70,95,70,95,2,Not Legendary,"Fight, Poison, Bug, Fighting, Grass","Bug, Dark, Ghost, Electric, Ice, Rock","Not Effective Against Dark, Immune to Ground",#N/A,#N/A,bug-wings,12,380
179,Mareep,Electric,White,,280,55,40,40,65,45,35,2,Not Legendary,"Flying, Water",Ground,Not Effective Against Ground,15,None,legs,4,85
180,Flaaffy,Electric,Pink,,365,70,55,55,80,60,45,2,Not Legendary,"Flying, Water",Ground,Not Effective Against Ground,30,None,upright,14,750
181,Ampharos,Electric,Yellow,,510,90,75,85,115,90,55,2,Not Legendary,"Flying, Water",Ground,Not Effective Against Ground,#N/A,#N/A,quadruped,9,265
181,AmpharosMega Ampharos,Electric,Yellow,Dragon,610,90,95,105,165,110,45,2,Not Legendary,"Flying, Water, Dragon","Ground, Dragon, Fairy, Ice","Not Effective Against Ground, Not Effective Against Fairy",#N/A,#N/A,quadruped,10,270
182,Bellossom,Grass,Green,,490,75,80,95,90,100,50,2,Not Legendary,"Ground, Rock, Water","Bug, Fire, Flying, Ice, Poison",nan,#N/A,#N/A,wings,5,21
183,Marill,Water,Blue,Fairy,250,70,20,50,20,50,40,2,Not Legendary,"Fire, Ground, Rock, Dark, Dragon, Fighting","Electric, Grass, Poison, Steel","nan, Immune to Dragon",18,None,upright,20,795
184,Azumarill,Water,Blue,Fairy,420,100,50,80,60,80,50,2,Not Legendary,"Fire, Ground, Rock, Dark, Dragon, Fighting","Electric, Grass, Poison, Steel","nan, Immune to Dragon",#N/A,#N/A,ball,7,10
185,Sudowoodo,Rock,Brown,,410,70,100,115,30,65,30,2,Not Legendary,"Bug, Fire, Flying, Ice","Fight, Grass, Ground, Steel, Water",nan,#N/A,#N/A,ball,5,50
186,Politoed,Water,Blue,,500,90,75,75,90,100,70,2,Not Legendary,"Fire, Ground, Rock","Electric, Grass",nan,#N/A,#N/A,blob,13,285
187,Hoppip,Grass,Pink,Flying,250,35,35,40,35,55,50,2,Not Legendary,"Ground, Rock, Water, Bug, Fighting, Grass","Bug, Fire, Flying, Ice, Poison, Electric, Ice, Rock","nan, Immune to Ground",18,None,quadruped,15,415
188,Skiploom,Grass,Green,Flying,340,55,45,50,45,65,80,2,Not Legendary,"Ground, Rock, Water, Bug, Fighting, Grass","Bug, Fire, Flying, Ice, Poison, Electric, Ice, Rock","nan, Immune to Ground",27,None,ball,6,72
189,Jumpluff,Grass,Blue,Flying,460,75,55,70,55,95,110,2,Not Legendary,"Ground, Rock, Water, Bug, Fighting, Grass","Bug, Fire, Flying, Ice, Poison, Electric, Ice, Rock","nan, Immune to Ground",#N/A,#N/A,ball,12,1258
190,Aipom,Normal,Purple,,360,55,70,55,40,55,85,2,Not Legendary,None,Fighting,Immune to Ghost; Not Effective Against Ghost,#N/A,#N/A,squiggle,15,140
191,Sunkern,Grass,Yellow,,180,30,30,30,30,30,30,2,Not Legendary,"Ground, Rock, Water","Bug, Fire, Flying, Ice, Poison",nan,#N/A,#N/A,wings,11,648
192,Sunflora,Grass,Yellow,,425,75,75,55,105,85,30,2,Not Legendary,"Ground, Rock, Water","Bug, Fire, Flying, Ice, Poison",nan,#N/A,#N/A,squiggle,92,4000
193,Yanma,Bug,Green,Flying,390,65,65,45,75,45,95,2,Not Legendary,"Dark, Grass, Psychic, Bug, Fighting, Grass","Fire, Flying, Rock, Electric, Ice, Rock","nan, Immune to Ground",#N/A,#N/A,humanoid,6,78
194,Wooper,Water,Blue,Ground,210,55,45,45,25,25,15,2,Not Legendary,"Fire, Ground, Rock, Electric, Fire, Poison, Rock, Steel","Electric, Grass, Grass, Ice, Water","nan, Immune to Electric; Not Effective Against Flying",20,None,upright,14,487
195,Quagsire,Water,Blue,Ground,430,95,85,85,65,65,35,2,Not Legendary,"Fire, Ground, Rock, Electric, Fire, Poison, Rock, Steel","Electric, Grass, Grass, Ice, Water","nan, Immune to Electric; Not Effective Against Flying",#N/A,#N/A,fish,5,39
196,Espeon,Psychic,Purple,,525,65,65,60,130,95,110,2,Not Legendary,"Fight, Poison","Bug, Dark, Ghost",Not Effective Against Dark,#N/A,#N/A,bug-wings,18,1180
197,Umbreon,Dark,Black,,525,95,65,110,60,130,65,2,Not Legendary,"Ghost, Psychic","Bug, Fairy, Fight",Immunce to Psychic,#N/A,#N/A,armor,6,205
198,Murkrow,Dark,Black,Flying,405,60,85,42,85,42,91,2,Not Legendary,"Ghost, Psychic, Bug, Fighting, Grass","Bug, Fairy, Fight, Electric, Ice, Rock","Immunce to Psychic, Immune to Ground",#N/A,#N/A,humanoid,15,540
199,Slowking,Water,Pink,Psychic,490,95,75,80,100,110,30,2,Not Legendary,"Fire, Ground, Rock, Fight, Poison","Electric, Grass, Bug, Dark, Ghost","nan, Not Effective Against Dark",#N/A,#N/A,upright,9,280
200,Misdreavus,Ghost,Blue,,435,60,60,60,85,85,85,2,Not Legendary,"Ghost, Psychic","Dark, Ghost","Immune to fight, Normal; Not Effective Against Normal",#N/A,#N/A,upright,6,88
201,Unown,Psychic,Black,,336,48,72,48,72,48,48,2,Not Legendary,"Fight, Poison","Bug, Dark, Ghost",Not Effective Against Dark,#N/A,#N/A,upright,18,1258
202,Wobbuffet,Psychic,Blue,,405,190,33,58,33,58,33,2,Not Legendary,"Fight, Poison","Bug, Dark, Ghost",Not Effective Against Dark,#N/A,#N/A,squiggle,7,350
203,Girafarig,Normal,Yellow,Psychic,455,70,80,65,90,65,85,2,Not Legendary,"None, Fight, Poison","Fighting, Bug, Dark, Ghost","Immune to Ghost; Not Effective Against Ghost, Not Effective Against Dark",#N/A,#N/A,squiggle,8,550
204,Pineco,Bug,Blue,,290,50,65,90,35,35,15,2,Not Legendary,"Dark, Grass, Psychic","Fire, Flying, Rock",nan,31,None,quadruped,4,65
205,Forretress,Bug,Purple,Steel,465,75,90,140,60,60,40,2,Not Legendary,"Dark, Grass, Psychic, Fairy, Ice, Rock","Fire, Flying, Rock, Fight, Fire, Ground","nan, Immune to Poison",#N/A,#N/A,quadruped,11,558
206,Dunsparce,Normal,Yellow,,415,100,70,70,65,65,45,2,Not Legendary,None,Fighting,Immune to Ghost; Not Effective Against Ghost,#N/A,#N/A,armor,6,50
207,Gligar,Ground,Purple,Flying,430,65,75,105,35,65,85,2,Not Legendary,"Electric, Fire, Poison, Rock, Steel, Bug, Fighting, Grass","Grass, Ice, Water, Electric, Ice, Rock","Immune to Electric; Not Effective Against Flying, Immune to Ground",#N/A,#N/A,fish,6,120
208,Steelix,Steel,Grey,Ground,510,75,85,200,55,65,30,2,Not Legendary,"Fairy, Ice, Rock, Electric, Fire, Poison, Rock, Steel","Fight, Fire, Ground, Grass, Ice, Water","Immune to Poison, Immune to Electric; Not Effective Against Flying",#N/A,#N/A,tentacles,9,285
208,SteelixMega Steelix,Steel,Grey,Ground,610,75,125,230,55,95,30,2,Not Legendary,"Fairy, Ice, Rock, Electric, Fire, Poison, Rock, Steel","Fight, Fire, Ground, Grass, Ice, Water","Immune to Poison, Immune to Electric; Not Effective Against Flying",#N/A,#N/A,wings,9,160
209,Snubbull,Fairy,Pink,,300,60,80,50,40,40,30,2,Not Legendary,"Dark, Dragon, Fighting","Poison, Steel",Immune to Dragon,23,None,wings,21,2200
210,Granbull,Fairy,Purple,,450,90,120,75,60,60,45,2,Not Legendary,"Dark, Dragon, Fighting","Poison, Steel",Immune to Dragon,#N/A,#N/A,wings,17,505
211,Qwilfish,Water,Blue,Poison,430,65,95,75,55,55,85,2,Not Legendary,"Fire, Ground, Rock, Fairy, Grass","Electric, Grass, Ground, Psychic","nan, Not Effective Against Steel",#N/A,#N/A,quadruped,6,108
212,Scizor,Bug,Red,Steel,500,70,130,100,55,80,65,2,Not Legendary,"Dark, Grass, Psychic, Fairy, Ice, Rock","Fire, Flying, Rock, Fight, Fire, Ground","nan, Immune to Poison",#N/A,#N/A,quadruped,14,350
212,ScizorMega Scizor,Bug,Red,Steel,600,70,150,140,65,100,75,2,Not Legendary,"Dark, Grass, Psychic, Fairy, Ice, Rock","Fire, Flying, Rock, Fight, Fire, Ground","nan, Immune to Poison",#N/A,#N/A,blob,18,1520
213,Shuckle,Bug,Yellow,Rock,505,20,10,230,10,230,5,2,Not Legendary,"Dark, Grass, Psychic, Bug, Fire, Flying, Ice","Fire, Flying, Rock, Fight, Grass, Ground, Steel, Water","nan, nan",#N/A,#N/A,quadruped,5,335
214,Heracross,Bug,Blue,Fighting,500,80,125,75,40,95,85,2,Not Legendary,"Dark, Grass, Psychic, Dark, Ice, Normal, Rock, Steel","Fire, Flying, Rock, Fairy, Flying, Psychic","nan, Not Effective Against Ghost",#N/A,#N/A,quadruped,11,1200
214,HeracrossMega Heracross,Bug,Blue,Fighting,600,80,185,115,40,105,75,2,Not Legendary,"Dark, Grass, Psychic, Dark, Ice, Normal, Rock, Steel","Fire, Flying, Rock, Fairy, Flying, Psychic","nan, Not Effective Against Ghost",#N/A,#N/A,legs,6,325
215,Sneasel,Dark,Blue,Ice,430,55,95,55,35,75,115,2,Not Legendary,"Ghost, Psychic, Dragon, Flying, Grass, Ground","Bug, Fairy, Fight, Fighting, Fire, Rock, Steel","Immunce to Psychic, nan",#N/A,#N/A,quadruped,14,712
216,Teddiursa,Normal,Brown,,330,60,80,50,50,50,40,2,Not Legendary,None,Fighting,Immune to Ghost; Not Effective Against Ghost,30,None,upright,12,580
217,Ursaring,Normal,Brown,,500,90,130,75,75,75,55,2,Not Legendary,None,Fighting,Immune to Ghost; Not Effective Against Ghost,#N/A,#N/A,humanoid,7,210
218,Slugma,Fire,Red,,250,40,40,40,70,40,20,2,Not Legendary,"Bug, Grass, Ice, Steel","Ground, Rock, Water",nan,38,None,upright,14,480
219,Magcargo,Fire,Red,Rock,410,50,50,120,80,80,30,2,Not Legendary,"Bug, Grass, Ice, Steel, Bug, Fire, Flying, Ice","Ground, Rock, Water, Fight, Grass, Ground, Steel, Water","nan, nan",#N/A,#N/A,humanoid,4,60
220,Swinub,Ice,Brown,Ground,250,50,50,40,30,30,50,2,Not Legendary,"Dragon, Flying, Grass, Ground, Electric, Fire, Poison, Rock, Steel","Fighting, Fire, Rock, Steel, Grass, Ice, Water","nan, Immune to Electric; Not Effective Against Flying",33,None,humanoid,6,235
221,Piloswine,Ice,Brown,Ground,450,100,100,80,60,60,50,2,Not Legendary,"Dragon, Flying, Grass, Ground, Electric, Fire, Poison, Rock, Steel","Fighting, Fire, Rock, Steel, Grass, Ice, Water","nan, Immune to Electric; Not Effective Against Flying",#N/A,#N/A,upright,7,214
222,Corsola,Water,Pink,Rock,380,55,55,85,65,85,35,2,Not Legendary,"Fire, Ground, Rock, Bug, Fire, Flying, Ice","Electric, Grass, Fight, Grass, Ground, Steel, Water","nan, nan",#N/A,#N/A,upright,12,755
223,Remoraid,Water,Blue,,300,35,65,35,65,35,65,2,Not Legendary,"Fire, Ground, Rock","Electric, Grass",nan,25,None,humanoid,15,468
224,Octillery,Water,Red,,480,75,105,75,105,75,45,2,Not Legendary,"Fire, Ground, Rock","Electric, Grass",nan,#N/A,#N/A,quadruped,19,1780
225,Delibird,Ice,Red,Flying,330,45,55,45,65,45,75,2,Not Legendary,"Dragon, Flying, Grass, Ground, Bug, Fighting, Grass","Fighting, Fire, Rock, Steel, Electric, Ice, Rock","nan, Immune to Ground",#N/A,#N/A,quadruped,21,1980
226,Mantine,Water,Blue,Flying,465,65,40,70,80,140,70,2,Not Legendary,"Fire, Ground, Rock, Bug, Fighting, Grass","Electric, Grass, Electric, Ice, Rock","nan, Immune to Ground",#N/A,#N/A,quadruped,20,1870
227,Skarmory,Steel,Grey,Flying,465,65,80,140,40,70,70,2,Not Legendary,"Fairy, Ice, Rock, Bug, Fighting, Grass","Fight, Fire, Ground, Electric, Ice, Rock","Immune to Poison, Immune to Ground",#N/A,#N/A,upright,6,720
228,Houndour,Dark,Black,Fire,330,45,60,30,80,50,65,2,Not Legendary,"Ghost, Psychic, Bug, Grass, Ice, Steel","Bug, Fairy, Fight, Ground, Rock, Water","Immunce to Psychic, nan",24,None,squiggle,12,1520
229,Houndoom,Dark,Black,Fire,500,75,90,50,110,80,95,2,Not Legendary,"Ghost, Psychic, Bug, Grass, Ice, Steel","Bug, Fairy, Fight, Ground, Rock, Water","Immunce to Psychic, nan",#N/A,#N/A,upright,20,2020
229,HoundoomMega Houndoom,Dark,Black,Fire,600,75,90,90,140,90,115,2,Not Legendary,"Ghost, Psychic, Bug, Grass, Ice, Steel","Bug, Fairy, Fight, Ground, Rock, Water","Immunce to Psychic, nan",#N/A,#N/A,wings,52,2160
230,Kingdra,Water,Blue,Dragon,540,75,95,95,95,95,85,2,Not Legendary,"Fire, Ground, Rock, Dragon","Electric, Grass, Dragon, Fairy, Ice","nan, Not Effective Against Fairy",#N/A,#N/A,wings,38,1990
231,Phanpy,Ground,Blue,,330,90,60,60,40,40,40,2,Not Legendary,"Electric, Fire, Poison, Rock, Steel","Grass, Ice, Water",Immune to Electric; Not Effective Against Flying,25,None,humanoid,6,50
232,Donphan,Ground,Grey,,500,90,120,120,60,60,50,2,Not Legendary,"Electric, Fire, Poison, Rock, Steel","Grass, Ice, Water",Immune to Electric; Not Effective Against Flying,#N/A,#N/A,upright,5,50
233,Porygon2,Normal,Pink,,515,85,80,90,105,95,60,2,Not Legendary,None,Fighting,Immune to Ghost; Not Effective Against Ghost,#N/A,#N/A,upright,9,216
234,Stantler,Normal,Brown,,465,73,95,62,85,65,85,2,Not Legendary,None,Fighting,Immune to Ghost; Not Effective Against Ghost,#N/A,#N/A,upright,17,522
235,Smeargle,Normal,Brown,,250,55,20,35,20,45,75,2,Not Legendary,None,Fighting,Immune to Ghost; Not Effective Against Ghost,#N/A,#N/A,legs,4,25
236,Tyrogue,Fighting,Purple,,210,35,35,35,35,35,35,2,Not Legendary,"Dark, Ice, Normal, Rock, Steel","Fairy, Flying, Psychic",Not Effective Against Ghost,20,Attack > Defense,upright,9,195
237,Hitmontop,Fighting,Brown,,455,50,95,95,35,110,70,2,Not Legendary,"Dark, Ice, Normal, Rock, Steel","Fairy, Flying, Psychic",Not Effective Against Ghost,#N/A,#N/A,upright,19,520
238,Smoochum,Ice,Pink,Psychic,305,45,30,15,85,65,65,2,Not Legendary,"Dragon, Flying, Grass, Ground, Fight, Poison","Fighting, Fire, Rock, Steel, Bug, Dark, Ghost","nan, Not Effective Against Dark",30,None,quadruped,4,76
239,Elekid,Electric,Yellow,,360,45,63,37,65,55,95,2,Not Legendary,"Flying, Water",Ground,Not Effective Against Ground,30,None,upright,7,280
240,Magby,Fire,Red,,365,45,75,37,70,55,83,2,Not Legendary,"Bug, Grass, Ice, Steel","Ground, Rock, Water",nan,30,None,upright,15,819
241,Miltank,Normal,Pink,,490,95,80,105,40,70,100,2,Not Legendary,None,Fighting,Immune to Ghost; Not Effective Against Ghost,#N/A,#N/A,quadruped,5,136
242,Blissey,Normal,Pink,,540,255,10,10,75,135,55,2,Not Legendary,None,Fighting,Immune to Ghost; Not Effective Against Ghost,#N/A,#N/A,quadruped,10,370
243,Raikou,Electric,Yellow,,580,90,85,75,115,100,115,2,Legendary,"Flying, Water",Ground,Not Effective Against Ground,#N/A,#N/A,quadruped,4,175
244,Entei,Fire,Brown,,580,115,115,85,90,75,100,2,Legendary,"Bug, Grass, Ice, Steel","Ground, Rock, Water",nan,#N/A,#N/A,quadruped,5,325
